,sample_8:00-11:00_1,sample_8:00-11:00_2,sample_8:00-11:00_3,sample_11:00-14:00_1,sample_11:00-14:00_2,sample_14:00-17:00_1,sample_14:00-17:00_2,sample_17:00-20:00_1,sample_17:00-20:00_2,sample_8:00-11:00_4,sample_8:00-11:00_5,sample_11:00-14:00_3,sample_11:00-14:00_4,sample_14:00-17:00_3,sample_14:00-17:00_4,sample_17:00-20:00_3,sample_17:00-20:00_1.1,rtmed,mz,metabolite_id
40,14152601.7812815,12067654.4874846,11022842.7619806,9953748.18254113,8993715.81749997,1590275.64656867,2058150.8833594,507898.670068364,764075.514477546,2313776.25307939,2269972.13571385,4485879.66860671,1984659.47073529,778968.49315584,469798.642688796,900044.483575377,337817.591929685,10.4181666666667,105.02,1
1307,2534010.77439738,2413495.75665245,2010754.35486917,1836482.57555921,1842776.35024086,315190.422881981,357351.047259789,103980.136729951,114934.342835938,459797.324093106,300018.688088943,708507.061601261,299125.956390622,143045.64303289,105850.288972129,163483.425865799,63615.0354470299,10.4180833333333,51.03,1
1462,654075.648842471,468042.963851094,499786.026044918,365724.687907368,325386.330870537,68791.936275003,42151.2613026704,22394.7807371009,36473.4163622741,64782.2311538858,98945.776446919,198837.868865192,40575.2229303852,30555.8973001517,21471.7883613985,35691.8980061422,13306.7150466067,10.4094166666667,74.01,1
1484,1640174.39850403,1112789.40006811,941489.364419241,960902.947891654,912517.073303545,116284.683156251,184178.635090574,52723.2780733891,41633.9173359381,128359.707786458,230875.756775475,468552.416097343,156859.916853967,72975.1508689821,53808.0878818723,80261.905056169,31940.3472335142,10.4101666666667,78.04,1
1451,136006.702308588,115527.791722552,119941.979225129,98560.5330937143,52439.4015318074,15590.256115826,18842.7298673987,5247.39949771962,9510.66907725225,26332.775151549,23489.7368813845,45613.3382116487,20231.8893295688,7692.03717739078,5811.87912840181,8393.30188872722,2829.52727749012,10.4948333333333,73.01,1
80,28236.9810479283,27536.7893810034,26316.2784252316,22930.0763817072,27398.0928952396,4026.93076838851,4313.63949845135,982.88040436618,1060.3839137964,5408.64164871164,5129.33515192755,9077.76005219668,3712.72209398262,1485.66904255003,1236.08602963993,1458.47976658742,649.807217133231,10.419,108.01,1
1301,1085145.71877404,771878.748846505,845069.142480464,582376.25931491,520409.797591762,151652.544424576,170097.003149189,48663.661516697,54895.3969658205,220376.386793673,150509.951526168,389343.803100584,187875.210807715,68571.8163922615,49246.0255963527,49280.0291873603,30194.0035249538,10.4179166666667,50.02,1
69,1092031.30481769,1023477.6842207,932791.389869803,745182.657791942,695132.860031255,91843.6177504174,134156.731779329,25668.2589900716,52032.1732832027,141150.980228746,163667.828531249,309357.215488978,123245.21754297,57054.0470522851,41574.6357885525,42113.0154575888,23693.0393183361,10.4181666666667,107.03,1
1469,270395.105292158,227794.974983471,282017.435826819,144156.46954149,206926.991359654,14643.1618676576,21687.950075315,3722.5940106567,5767.32983764028,16494.3802786,25583.8502715658,40656.3104376197,8579.2950930465,9723.76027706079,2027.98841699958,7140.0524973573,4790.09685169355,10.4181666666667,76.06,1
1494,68087.7262705437,38134.2271064762,37985.6513946531,49675.0759087013,39501.0200473187,7265.16884559074,10015.2911208034,4492.40592343267,6983.20368744032,10995.050900959,11290.7983456169,20666.3412006125,11195.0935160113,4722.30516128801,4175.30767390797,10004.2030352567,2440.39470671037,10.4124166666667,79.04,1
1472,7255545.16171881,6104097.20999999,4510116.12394179,4485308.17499998,6674909.73795637,1130569.87646484,1329311.20092775,392394.858590211,429937.051887959,1517142.86835321,1609361.66330731,2888405.79733455,1314327.40909376,539501.661504745,262817.690424108,522945.533976409,236006.171933985,10.4181666666667,77.03,1
1299,86515.7257531729,71107.8311645504,39688.8047514198,80214.341251713,71810.6536356608,11770.644657135,14543.3926992379,3765.15831965208,6127.64021448543,17467.2753584683,14744.4570900665,35638.9602822661,15544.4573085979,5021.20678292463,3352.63667815344,5979.91297112571,1856.51660332218,10.4101666666667,49.03,1
